country,mean,q025,q975,Rhat,param,param_fam,run_level,variant,identifier,time_left,time_right,source
CMR,-0.15665186362966665,-0.9594729999999999,0.6241152500000003,0.9995277450928484,betas_g2[11],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_CMR_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
CMR,0.5701556599000001,-0.31745924999999997,1.444715,1.0009363247767544,betas_g2[12],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_CMR_mean_annual_incidence_mixture_all-all_kTRUE_l012_runlev2_dmyFALSE.rds
COD,0.08458613549575,-0.2742875,0.41683375,1.0008951150376733,betas_g1[1],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.8093625775,-1.196205,-0.4750517499999999,1.0000281667902218,betas_g1[2],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.9881642900000001,-1.3880275,-0.6459307499999999,1.0002745906690322,betas_g1[3],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-1.223460685,-1.616,-0.86567575,1.0003865561372582,betas_g1[4],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.9713838075,-1.322305,-0.6438965,1.0000298329226196,betas_g1[5],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.667309597325,-1.0646075,-0.2588942499999998,1.0013083061389323,betas_g1[6],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,-0.3527629335975,-0.7704795,0.06887602500000012,1.0010941289792163,betas_g1[7],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,0.561231677525,0.1904445,0.946843,1.0003364681805158,betas_g1[8],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,1.001011365,0.6673865,1.357015,0.9998474714562071,betas_g1[9],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,1.4670887575,1.16358,1.805,1.0004094245573902,betas_g1[10],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,1.2735099725,0.93025325,1.6413225,1.0004042757398475,betas_g1[11],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,0.62471563125,0.25546925,0.9892515,1.0006812161284102,betas_g1[12],betas_g1,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,0.26643471192,-0.06807142499999999,0.618658,1.000516677769734,betas_g2[1],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,0.89282933,0.5952765,1.208805,0.9998160545812301,betas_g2[2],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,1.181709,0.8760600000000001,1.51095,0.9995474252607333,betas_g2[3],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,1.1125623375,0.79079775,1.4574550000000002,1.0006479688357939,betas_g2[4],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,0.6431157385,0.33492725,0.9692845,0.9996908218937837,betas_g2[5],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
COD,0.072141894035,-0.32962424999999995,0.46949525000000003,1.0010627920175597,betas_g2[6],betas_g2,2,mixture,mean_annual_incidence,all,all,./generated_data/outputs/output_COD_mean_annual_incidence_mixture_all-all_kTRUE_l12_runlev2_dmyTRUE.rds
