country,variable,mean,q2.5,q25,q75,q97.5,gid,month,run_level,variant,identifier,time_left,time_right
SDN,"betas[69,1]",-4.6624117125,-7.781733750000001,-5.4156775,-3.6751224999999996,-2.599517,SDN.7.6_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[70,1]",-4.700477095,-7.86518625,-5.4575225000000005,-3.7210849999999995,-2.59781375,SDN.7.7_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[71,1]",-5.1498712985,-9.359763,-6.126082499999999,-3.9270899999999997,-2.461923,SDN.8.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[72,1]",-5.0882429075,-9.441224250000001,-6.092007499999999,-3.805905,-2.2497644999999995,SDN.8.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[73,1]",-4.914787324,-9.278175249999999,-5.8275749999999995,-3.72342,-2.1108812499999994,SDN.8.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[74,1]",-4.419207785,-7.78281625,-5.1830875,-3.4180275,-2.00001325,SDN.8.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[75,1]",-4.1014678795,-7.014011249999999,-4.86057,-3.1837425,-1.8201232499999984,SDN.8.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[76,1]",-4.166332116,-7.170203750000001,-4.93253,-3.2205475,-2.041982999999999,SDN.9.1_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[77,1]",-4.279999106625,-7.4994232499999995,-5.0781025,-3.3217375000000002,-1.9801167499999992,SDN.9.2_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[78,1]",-4.6461821975,-7.756081249999999,-5.381945,-3.6820325,-2.5552842499999997,SDN.9.3_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[79,1]",-4.200824477,-7.0931005,-4.980449999999999,-3.2817925,-1.93947875,SDN.9.4_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[80,1]",-4.74789921,-8.0352165,-5.48792,-3.7798675,-2.6707775,SDN.9.5_1,1,2,mixture,mean_annual_incidence,all,all
SDN,"betas[1,2]",-5.24123055125,-9.03063975,-6.124485,-4.14825,-2.6586645,SDN.1.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[2,2]",-4.6330534601,-8.426019250000001,-5.672562500000001,-3.445505,-1.4734317499999994,SDN.1.2_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[3,2]",-4.821725536575,-8.617498750000001,-5.792095,-3.7112125000000002,-1.6116199999999998,SDN.1.3_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[4,2]",-4.94624287815,-8.661742250000001,-5.8666825,-3.8711225000000002,-1.9359992499999998,SDN.1.4_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[5,2]",-5.19205955825,-8.878448500000001,-6.16237,-4.0818674999999995,-2.22118,SDN.1.5_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[6,2]",-4.620002000645,-8.59283175,-5.7338625,-3.4354625,-1.0767844999999998,SDN.1.6_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[7,2]",-4.6945856674,-8.375744000000001,-5.759214999999999,-3.5469925,-1.3824059999999991,SDN.1.7_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[8,2]",-4.57012905725,-8.432038,-5.6755075,-3.3610725,-1.3369279999999986,SDN.10.1_1,2,2,mixture,mean_annual_incidence,all,all
SDN,"betas[9,2]",-4.745759973775,-8.37824125,-5.79354,-3.6136,-1.6694067499999998,SDN.10.2_1,2,2,mixture,mean_annual_incidence,all,all
