gid,variant,run_level,peak_month,peak_val,country
COD.9.4_1,mixture,2,10,0.4381377943582474,COD
COD.9.5_1,mixture,2,10,0.29130425242268043,COD
COD.9.6_1,mixture,2,10,0.2413340103298969,COD
COD.9.7_1,mixture,2,12,0.18413936751804125,COD
COD.9.8_1,mixture,2,1,0.18290252170103094,COD
ETH.1.1_1,mixture,2,9,1.6860489805,ETH
ETH.10.1_1,mixture,2,9,0.76789237056,ETH
ETH.10.10_1,mixture,2,10,0.42615786445225,ETH
ETH.10.11_1,mixture,2,9,0.499491470095725,ETH
ETH.10.12_1,mixture,2,9,1.08455570496575,ETH
ETH.10.13_1,mixture,2,9,1.13788668830625,ETH
ETH.10.14_1,mixture,2,9,1.02727542809675,ETH
ETH.10.15_1,mixture,2,9,0.7869050618642675,ETH
ETH.10.16_1,mixture,2,3,0.2477630976185,ETH
ETH.10.17_1,mixture,2,9,0.9231145930485,ETH
ETH.10.18_1,mixture,2,9,0.511560063106,ETH
ETH.10.19_1,mixture,2,9,0.8269866785454075,ETH
ETH.10.2_1,mixture,2,3,0.30991519586795,ETH
ETH.10.20_1,mixture,2,9,0.66295785640775,ETH
ETH.10.21_1,mixture,2,9,1.020086946265,ETH
ETH.10.22_1,mixture,2,9,0.527951651055,ETH
ETH.10.3_1,mixture,2,9,0.59913358839725,ETH
ETH.10.4_1,mixture,2,9,0.8715710962825,ETH
ETH.10.5_1,mixture,2,9,0.8269855353995,ETH
ETH.10.6_1,mixture,2,9,0.71728920265025,ETH
ETH.10.7_1,mixture,2,9,0.588987610474825,ETH
ETH.10.8_1,mixture,2,3,0.2677543155811,ETH
ETH.10.9_1,mixture,2,9,1.130167577245,ETH
ETH.11.1_1,mixture,2,9,1.4004321546935,ETH
ETH.11.2_1,mixture,2,9,1.4313634249935001,ETH
ETH.11.3_1,mixture,2,9,2.45068747,ETH
ETH.11.4_1,mixture,2,9,1.382151283725,ETH
ETH.11.5_1,mixture,2,9,1.5799610758825,ETH
ETH.2.1_1,mixture,2,9,1.60983866625,ETH
ETH.2.2_1,mixture,2,9,1.358153758385,ETH
ETH.2.3_1,mixture,2,9,1.49120581875,ETH
ETH.2.4_1,mixture,2,9,1.8648679137925,ETH
ETH.2.5_1,mixture,2,9,0.81080425203475,ETH
ETH.3.1_1,mixture,2,9,1.4584686417475,ETH
ETH.3.10_1,mixture,2,9,1.28438404497275,ETH
ETH.3.11_1,mixture,2,9,1.3535938248655,ETH
ETH.3.12_1,mixture,2,9,1.5979735810325,ETH
ETH.3.2_1,mixture,2,9,1.2931597936905,ETH
ETH.3.3_1,mixture,2,9,1.174224893454175,ETH
ETH.3.4_1,mixture,2,9,1.326288040416,ETH
ETH.3.5_1,mixture,2,9,1.5744464343625,ETH
ETH.3.6_1,mixture,2,9,1.2549283072625,ETH
ETH.3.7_1,mixture,2,9,1.2257917569475,ETH
ETH.3.8_1,mixture,2,9,1.1897212931427,ETH
ETH.3.9_1,mixture,2,9,1.79748307559,ETH
ETH.4.1_1,mixture,2,9,1.11574620604725,ETH
ETH.4.2_1,mixture,2,9,1.691123362875,ETH
ETH.4.3_1,mixture,2,9,1.27968855580175,ETH
ETH.5.1_1,mixture,2,9,0.984877220595,ETH
ETH.6.1_1,mixture,2,9,1.27218707166175,ETH
ETH.6.2_1,mixture,2,9,0.96930579826375,ETH
ETH.6.3_1,mixture,2,9,1.002184220375075,ETH
ETH.7.1_1,mixture,2,9,1.7686121075,ETH
ETH.8.1_1,mixture,2,9,0.63479753231725,ETH
ETH.8.10_1,mixture,2,10,0.41513461704175,ETH
ETH.8.11_1,mixture,2,9,1.99725993275,ETH
ETH.8.12_1,mixture,2,9,1.09944709668,ETH
ETH.8.13_1,mixture,2,9,1.11278585694175,ETH
ETH.8.14_1,mixture,2,9,1.425978969,ETH
ETH.8.15_1,mixture,2,9,0.950506729438,ETH
ETH.8.16_1,mixture,2,9,1.224206476365,ETH
ETH.8.17_1,mixture,2,9,1.878702404525,ETH
ETH.8.2_1,mixture,2,10,0.26901568984299623,ETH
ETH.8.3_1,mixture,2,10,0.236147823475175,ETH
ETH.8.4_1,mixture,2,9,1.667329446555,ETH
ETH.8.5_1,mixture,2,10,0.241931754616425,ETH
ETH.8.6_1,mixture,2,9,1.14331478313775,ETH
ETH.8.7_1,mixture,2,9,1.32138655067,ETH
ETH.8.8_1,mixture,2,9,0.86869494632105,ETH
ETH.8.9_1,mixture,2,9,1.0598901158935,ETH
ETH.9.1_1,mixture,2,3,0.45631119223125,ETH
ETH.9.2_1,mixture,2,5,0.2325842581825,ETH
ETH.9.3_1,mixture,2,9,0.817583372855,ETH
ETH.9.4_1,mixture,2,3,0.33070557468525,ETH
ETH.9.5_1,mixture,2,3,0.6611943420575,ETH
ETH.9.6_1,mixture,2,10,0.371951898338,ETH
ETH.9.7_1,mixture,2,5,0.22311259586232501,ETH
ETH.9.8_1,mixture,2,5,0.2259469403365,ETH
ETH.9.9_1,mixture,2,9,1.89211821125,ETH
GIN.1_1,mixture,1,10,0.9783715655775,GIN
GIN.2_1,mixture,1,9,2.8925160475,GIN
GIN.3_1,mixture,1,10,1.323560395689,GIN
GIN.4_1,mixture,1,10,1.3848406363775,GIN
GIN.5_1,mixture,1,10,1.08210735216,GIN
GIN.6_1,mixture,1,10,1.29922058464,GIN
GIN.7_1,mixture,1,10,1.30163985065,GIN
GIN.8_1,mixture,1,4,0.64903060340075,GIN
GNB.1_1,base,1,10,1.9009224475,GNB
GNB.2_1,base,1,10,1.9009224475,GNB
GNB.3_1,base,1,10,1.9009224475,GNB
GNB.4_1,base,1,10,1.9009224475,GNB
GNB.5_1,base,1,10,1.9009224475,GNB
GNB.6_1,base,1,10,1.9009224475,GNB
GNB.7_1,base,1,10,1.9009224475,GNB
GNB.8_1,base,1,10,1.9009224475,GNB
GNB.9_1,base,1,10,1.9009224475,GNB
KEN.1_1,offset,1,1,0.49195612421,KEN
KEN.10_1,offset,1,1,0.49195612421,KEN
KEN.11_1,offset,1,1,0.49195612421,KEN
KEN.12_1,offset,1,1,0.49195612421,KEN
KEN.13_1,offset,1,1,0.49195612421,KEN
KEN.14_1,offset,1,1,0.49195612421,KEN
KEN.15_1,offset,1,1,0.49195612421,KEN
KEN.16_1,offset,1,1,0.49195612421,KEN
KEN.17_1,offset,1,1,0.49195612421,KEN
KEN.18_1,offset,1,1,0.49195612421,KEN
KEN.19_1,offset,1,1,0.49195612421,KEN
KEN.2_1,offset,1,1,0.49195612421,KEN
KEN.20_1,offset,1,1,0.49195612421,KEN
KEN.21_1,offset,1,1,0.49195612421,KEN
KEN.22_1,offset,1,1,0.49195612421,KEN
KEN.23_1,offset,1,1,0.49195612421,KEN
KEN.24_1,offset,1,1,0.49195612421,KEN
KEN.25_1,offset,1,1,0.49195612421,KEN
KEN.26_1,offset,1,1,0.49195612421,KEN
KEN.27_1,offset,1,1,0.49195612421,KEN
KEN.28_1,offset,1,1,0.49195612421,KEN
